INDIR,FOLDER,IN FILE,DURATION,DATE,TIME,HOUR,DATE-12,TIME-12,HOUR-12,LATITUDE,LONGITUDE,MODEL,SERIAL NO,FIRMWARE,PREFIX,NOTES,AUTO ID,PULSES,MATCHING,MATCH RATIO,MARGIN,FILES,MANUAL ID,ORGID,USERID,REVIEW ORGID,REVIEW USERID,INPATHMD5
C:\Offline\aspot_bats\validation_kaleidoscope\denmark\denmark,,NS12_20230413_220104.wav,15,2023-04-13,22:01:04,22,2023-04-13,10:01:04,10,55.97842,7.19602,SM4BAT-FS,S4U17571,2.4.6,NS12,,,,,,,1,,,,,,nNd6irgR6zaTYkOu3u2lsg==
C:\Offline\aspot_bats\validation_kaleidoscope\denmark\denmark,,NS16_20230429_002326.wav,15,2023-04-29,00:23:26,0,2023-04-28,12:23:26,12,55.88547,7.36837,SM4BAT-FS,S4U17570,2.4.6,NS16,,,,,,,1,,,,,,ftRsTakFRaD7e79IJAHPNA==
C:\Offline\aspot_bats\validation_kaleidoscope\denmark\denmark,,NS19_20231125_202443.wav,5.55,2023-11-25,20:24:43,20,2023-11-25,08:24:43,8,55.79229,7.5397,SM4BAT-FS,S4U17598,2.4.6,NS19,,,,,,,1,,,,,,cQaY5tkX4XkztIxBb0tJyA==
C:\Offline\aspot_bats\validation_kaleidoscope\denmark\denmark,,NS21_20231222_032729.wav,9.146,2023-12-22,03:27:29,3,2023-12-21,15:27:29,15,56.17347,7.52514,SM4BAT-FS,S4U17593,2.4.6,NS21,,,,,,,1,,,,,,aL0FweVbaT8JvxoaH34hRw==
C:\Offline\aspot_bats\validation_kaleidoscope\denmark\denmark,,NS19_20230512_035323.wav,15,2023-05-12,03:53:23,3,2023-05-11,15:53:23,15,55.79229,7.5397,SM4BAT-FS,S4U17582,2.4.6,NS19,,,,,,,1,,,,,,jTmT1YNsc/ibQPZl3qCFSg==
C:\Offline\aspot_bats\validation_kaleidoscope\denmark\denmark,,NS24S_20230510_044303.wav,15,2023-05-10,04:43:03,4,2023-05-09,16:43:03,16,55.88947,7.70791,SM4BAT-FS,S4U17574,2.4.6,NS24S,,,,,,,1,,,,,,c6rPopuQPuQkLcLGlQUEMw==
C:\Offline\aspot_bats\validation_kaleidoscope\denmark\denmark,,NS21_20230422_003040.wav,15,2023-04-22,00:30:40,0,2023-04-21,12:30:40,12,56.1734,7.52514,SM4BAT-FS,S4U17593,2.4.6,NS21,,,,,,,1,,,,,,XZCa25+BlfsVqXj/E1+Rzg==
C:\Offline\aspot_bats\validation_kaleidoscope\denmark\denmark,,NS25_20230907_203558.wav,7.746,2023-09-07,20:35:58,20,2023-09-07,08:35:58,8,56.08137,7.70147,SM4BAT-FS,S4U17570,2.4.6,NS25,,,,,,,1,,,,,,Zqb1qAsrqk5b+efDmC9UXA==
C:\Offline\aspot_bats\validation_kaleidoscope\denmark\denmark,,NS25_20240225_001129.wav,7.076,2024-02-25,00:11:29,0,2024-02-24,12:11:29,12,56.08158,7.70086,SM4BAT-FS,S4U18217,2.4.8,NS25,,,,,,,1,,,,,,zf1Ks1/NIE8jrlSjdX3aog==
C:\Offline\aspot_bats\validation_kaleidoscope\denmark\denmark,,NS20_20230416_034005.wav,15,2023-04-16,03:40:05,3,2023-04-15,15:40:05,15,55.98287,7.53255,SM4BAT-FS,S4U17612,2.4.6,NS20,,,,,,,1,,,,,,CXr3IN0zl4zAjLmPbpRw1Q==
C:\Offline\aspot_bats\validation_kaleidoscope\denmark\denmark,,NS28_20230827_214057.wav,12.922,2023-08-27,21:40:57,21,2023-08-27,09:40:57,9,55.79588,7.8797,SM4BAT-FS,S4U17598,2.4.6,NS28,,,,,,,1,,,,,,Gy7pAQGHD/ZsN2J5sQpgSw==
C:\Offline\aspot_bats\validation_kaleidoscope\denmark\denmark,,NS27S_20230515_015537.wav,15,2023-05-15,01:55:37,1,2023-05-14,13:55:37,13,55.6053,7.88513,SM4BAT-FS,S4U17637,2.4.6,NS27S,,,,,,,1,,,,,,WsbnIEkaF3KSop3ZCpzD6A==
C:\Offline\aspot_bats\validation_kaleidoscope\denmark\denmark,,NS28S_20230419_223157.wav,15,2023-04-19,22:31:57,22,2023-04-19,10:31:57,10,55.79587,7.87969,SM4BAT-FS,S4U17607,2.4.6,NS28S,,,,,,,1,,,,,,mOINyat8t7L1VAgV/+ASUQ==
C:\Offline\aspot_bats\validation_kaleidoscope\denmark\denmark,,NS25_20230416_215344.wav,15,2023-04-16,21:53:44,21,2023-04-16,09:53:44,9,56.08137,7.70145,SM4BAT-FS,S4U17598,2.4.6,NS25,,,,,,,1,,,,,,qTrr+UYv7zEgcaVKDcpGAw==
C:\Offline\aspot_bats\validation_kaleidoscope\denmark\denmark,,NS29_20230502_220323.wav,15,2023-05-02,22:03:23,22,2023-05-02,10:03:23,10,55.98644,7.87419,SM4BAT-FS,S4U17620,2.4.6,NS29,,,,,,,1,,,,,,FqtU5iEyzr01P/w3ceUI9w==
C:\Offline\aspot_bats\validation_kaleidoscope\denmark\denmark,,NS30_20230831_222903.wav,12.274,2023-08-31,22:29:03,22,2023-08-31,10:29:03,10,56.177,7.86862,SM4BAT-FS,S4U17617,2.4.6,NS30,,,,,,,1,,,,,,VpluxUnM124j8Wu3mecdtQ==
C:\Offline\aspot_bats\validation_kaleidoscope\denmark\denmark,,NS31_20230510_220047.wav,15,2023-05-10,22:00:47,22,2023-05-10,10:00:47,10,56.36755,7.86298,SM4BAT-FS,S4U17617,2.4.6,NS31,,,,,,,1,,,,,,sjEQL7LYT7/yK2Nm+vQpBA==
C:\Offline\aspot_bats\validation_kaleidoscope\denmark\denmark,,NS31_20230831_200539.wav,14.96,2023-08-31,20:05:39,20,2023-08-31,08:05:39,8,56.36757,7.86298,SM4BAT-FS,S4U17572,2.4.6,NS31,,,,,,,1,,,,,,asNrgJmr+HA8qtBIQ13RyA==
C:\Offline\aspot_bats\validation_kaleidoscope\denmark\denmark,,NS33_20230908_201636.wav,5.912,2023-09-08,20:16:36,20,2023-09-08,08:16:36,8,55.8926,8.04652,SM4BAT-FS,S4U17582,2.4.6,NS33,,,,,,,1,,,,,,Ec88unElzFIKdw7M63fSyw==
C:\Offline\aspot_bats\validation_kaleidoscope\denmark\denmark,,NS32S_20230416_221739.wav,15,2023-04-16,22:17:39,22,2023-04-16,10:17:39,10,55.70201,8.05116,SM4BAT-FS,S4U17619,2.4.6,NS32S,,,,,,,1,,,,,,6Zj4Ughz4qRJLkM6/nVINg==
C:\Offline\aspot_bats\validation_kaleidoscope\denmark\denmark,,NS30_20230417_235235.wav,15,2023-04-17,23:52:35,23,2023-04-17,11:52:35,11,56.177,7.86861,SM4BAT-FS,S4U17592,2.4.6,NS30,,,,,,,1,,,,,,0VIZTJk7fm7Amep1IziPVA==
C:\Offline\aspot_bats\validation_kaleidoscope\denmark\denmark,,NS33_20230420_052743.wav,15,2023-04-20,05:27:43,5,2023-04-19,17:27:43,17,55.89259,8.04651,SM4BAT-FS,S4U17605,2.4.6,NS33,,,,,,,1,,,,,,pKa0OnkmxzCNE5v+s24/Iw==
